Description,Value GBP,Notes
Total Sales (12-month rolling),0,Enter from income tracker
VAT Registration Threshold,90000,UK threshold
Distance From Threshold,=B2-B3,Calculated
VAT Registration Required,=IF(B4>0,"YES","NO"),If over threshold

Quarterly VAT Estimates:
Q1 (Apr-Jun),0,Enter your quarterly sales
Q2 (Jul-Sep),0,
Q3 (Oct-Dec),0,
Q4 (Jan-Mar),0,
Total Annual VAT Estimate,=SUM(B8:B11),
Average Quarterly,=B12/4,

Note: Must register for VAT if turnover exceeds £90,000 in any 12-month period. Once registered, must charge VAT on sales and can reclaim VAT on expenses.
